PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;86;Opsterland;8434;Ooststellingwerf;00DA;00;Chr BS Betrouwen;9243SJ;BAKKEVEEN;Friesland;Bo;Protestants-Christelijk;30051;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;9201;Smallingerland;00DA;00;Chr BS Betrouwen;9243SJ;BAKKEVEEN;Friesland;Bo;Protestants-Christelijk;30051;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;9241;Opsterland;00DA;00;Chr BS Betrouwen;9243SJ;BAKKEVEEN;Friesland;Bo;Protestants-Christelijk;30051;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;86;Opsterland;9243;Opsterland;00DA;00;Chr BS Betrouwen;9243SJ;BAKKEVEEN;Friesland;Bo;Protestants-Christelijk;30051;0;6;7;1;8;8;8;10;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;57
20171001;86;Opsterland;9248;Opsterland;00DA;00;Chr BS Betrouwen;9243SJ;BAKKEVEEN;Friesland;Bo;Protestants-Christelijk;30051;0;1;0;0;1;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;86;Opsterland;9354;Leek;00DA;00;Chr BS Betrouwen;9243SJ;BAKKEVEEN;Friesland;Bo;Protestants-Christelijk;30051;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;86;Opsterland;7908;Hoogeveen;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;7921;De Wolden;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;7942;Meppel;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8308;Noordoostpolder;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8321;Urk;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8355;Steenwijkerland;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8375;Steenwijkerland;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8391;Weststellingwerf;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8392;Weststellingwerf;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8396;Weststellingwerf;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8397;Weststellingwerf;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8401;Opsterland;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;86;Opsterland;8407;Opsterland;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8407;Opsterland;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8411;Heerenveen;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8413;Heerenveen;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8414;Heerenveen;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8421;Ooststellingwerf;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8421;Ooststellingwerf;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8426;Ooststellingwerf;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8431;Ooststellingwerf;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;86;Opsterland;8433;Ooststellingwerf;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8433;Ooststellingwerf;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2
20171001;86;Opsterland;8434;Ooststellingwerf;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8434;Ooststellingwerf;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8442;Heerenveen;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8445;Heerenveen;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8446;Heerenveen;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;86;Opsterland;8448;Heerenveen;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8454;Heerenveen;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8464;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8465;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8465;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8471;Weststellingwerf;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;86;Opsterland;8471;Weststellingwerf;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;4
20171001;86;Opsterland;8472;Weststellingwerf;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8491;Heerenveen;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8495;Heerenveen;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;86;Opsterland;8501;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8501;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8502;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8502;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8507;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8516;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8521;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8523;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8525;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8525;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8531;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8535;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8539;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8561;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8566;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8567;De Fryske Marren;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8584;S∑dwest-Frysl‘n;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8601;S∑dwest-Frysl‘n;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8602;S∑dwest-Frysl‘n;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;86;Opsterland;8604;S∑dwest-Frysl‘n;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;86;Opsterland;8604;S∑dwest-Frysl‘n;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;3
20171001;86;Opsterland;8607;S∑dwest-Frysl‘n;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8614;S∑dwest-Frysl‘n;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8651;S∑dwest-Frysl‘n;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8701;S∑dwest-Frysl‘n;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2
20171001;86;Opsterland;8715;S∑dwest-Frysl‘n;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8724;S∑dwest-Frysl‘n;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8734;Littenseradiel;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8801;Franekeradeel;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8804;Franekeradeel;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8808;Franekeradeel;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8843;Littenseradiel;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8855;Franekeradeel;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8862;Harlingen;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8872;Harlingen;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8913;Leeuwarden;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8918;Leeuwarden;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2
20171001;86;Opsterland;8924;Leeuwarden;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8925;Leeuwarden;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8926;Leeuwarden;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8931;Leeuwarden;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8932;Leeuwarden;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8935;Leeuwarden;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;8939;Leeuwarden;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;86;Opsterland;8941;Leeuwarden;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
20171001;86;Opsterland;9001;Leeuwarden;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;9008;Leeuwarden;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;9021;Littenseradiel;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;So;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;9027;Littenseradiel;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;9034;Menameradiel;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;86;Opsterland;9035;Menameradiel;00LD;00;School Lyndensteyn;9244CL;BEETSTERZWAAG;Friesland;Vso;Algemeen bijzonder;42665;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
