PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;362;Amstelveen;1063;Amsterdam;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1066;Amsterdam;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1103;Amsterdam;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1115;Ouder-Amstel;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;362;Amstelveen;1181;Amstelveen;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;362;Amstelveen;1182;Amstelveen;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1183;Amstelveen;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;362;Amstelveen;1185;Amstelveen;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;2;0;0;2;5;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;362;Amstelveen;1186;Amstelveen;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;1;2;0;2;8;5;6;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;30
20171001;362;Amstelveen;1187;Amstelveen;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;3;2;2;0;1;3;2;7;4;1;0;0;0;0;0;0;0;0;0;0;0;0;25
20171001;362;Amstelveen;1188;Amstelveen;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;0;0;2;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;362;Amstelveen;1189;Amstelveen;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1422;Uithoorn;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1423;Uithoorn;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;362;Amstelveen;1431;Aalsmeer;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;362;Amstelveen;1432;Aalsmeer;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;1;0;1;0;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;362;Amstelveen;1433;Aalsmeer;00JX;00;SSBO Wending;1187SM;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1011;Amsterdam;03HT;00;SSBO De Schakel;1183EL;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1077;Amsterdam;03HT;00;SSBO De Schakel;1183EL;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1083;Amsterdam;03HT;00;SSBO De Schakel;1183EL;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;362;Amstelveen;1112;Diemen;03HT;00;SSBO De Schakel;1183EL;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;362;Amstelveen;1115;Ouder-Amstel;03HT;00;SSBO De Schakel;1183EL;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;362;Amstelveen;1181;Amstelveen;03HT;00;SSBO De Schakel;1183EL;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;1;2;1;3;3;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
20171001;362;Amstelveen;1182;Amstelveen;03HT;00;SSBO De Schakel;1183EL;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;362;Amstelveen;1183;Amstelveen;03HT;00;SSBO De Schakel;1183EL;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;1;0;0;4;3;1;3;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;362;Amstelveen;1184;Amstelveen;03HT;00;SSBO De Schakel;1183EL;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;362;Amstelveen;1185;Amstelveen;03HT;00;SSBO De Schakel;1183EL;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;1;3;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;362;Amstelveen;1186;Amstelveen;03HT;00;SSBO De Schakel;1183EL;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;3;3;0;3;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;362;Amstelveen;1187;Amstelveen;03HT;00;SSBO De Schakel;1183EL;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;2;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;362;Amstelveen;1188;Amstelveen;03HT;00;SSBO De Schakel;1183EL;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;2;1;1;2;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;362;Amstelveen;1191;Ouder-Amstel;03HT;00;SSBO De Schakel;1183EL;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;1;0;0;0;1;2;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;362;Amstelveen;1391;De Ronde Venen;03HT;00;SSBO De Schakel;1183EL;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1611;Stede Broec;03HT;00;SSBO De Schakel;1183EL;AMSTELVEEN;Noord-Holland;Sbo;Openbaar;41580;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;  40;Onbekend;05FP;00;Brede School Omnibus;1183KK;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1103;Amsterdam;05FP;00;Brede School Omnibus;1183KK;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;362;Amstelveen;1107;Amsterdam;05FP;00;Brede School Omnibus;1183KK;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1181;Amstelveen;05FP;00;Brede School Omnibus;1183KK;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;4;1;3;3;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;362;Amstelveen;1183;Amstelveen;05FP;00;Brede School Omnibus;1183KK;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;11;9;8;13;11;10;18;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;97
20171001;362;Amstelveen;1185;Amstelveen;05FP;00;Brede School Omnibus;1183KK;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;3;1;1;1;0;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;362;Amstelveen;1186;Amstelveen;05FP;00;Brede School Omnibus;1183KK;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;1;0;0;0;4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;362;Amstelveen;1191;Ouder-Amstel;05FP;00;Brede School Omnibus;1183KK;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;362;Amstelveen;1422;Uithoorn;05FP;00;Brede School Omnibus;1183KK;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1824;Alkmaar;05FP;00;Brede School Omnibus;1183KK;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1011;Amsterdam;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1060;Amsterdam;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1064;Amsterdam;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1073;Amsterdam;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1082;Amsterdam;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1103;Amsterdam;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1104;Amsterdam;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;362;Amstelveen;1107;Amsterdam;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;362;Amstelveen;1108;Amsterdam;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1171;Haarlemmermeer;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1181;Amstelveen;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;2;1;5;4;5;7;5;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;38
20171001;362;Amstelveen;1182;Amstelveen;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;0;1;1;0;2;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;362;Amstelveen;1183;Amstelveen;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;3;1;0;3;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;362;Amstelveen;1184;Amstelveen;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;362;Amstelveen;1185;Amstelveen;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;3;2;6;3;3;5;3;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;33
20171001;362;Amstelveen;1186;Amstelveen;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;2;4;4;6;2;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
20171001;362;Amstelveen;1187;Amstelveen;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;11;10;6;6;6;4;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53
20171001;362;Amstelveen;1188;Amstelveen;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;3;2;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;362;Amstelveen;1189;Amstelveen;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1191;Ouder-Amstel;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;362;Amstelveen;1382;Weesp;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1398;Gooise Meren;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1421;Uithoorn;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;362;Amstelveen;1422;Uithoorn;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;362;Amstelveen;1431;Aalsmeer;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;362;Amstelveen;1432;Aalsmeer;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;2;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;362;Amstelveen;3643;De Ronde Venen;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;3646;De Ronde Venen;06QY;00;Basisschool Parcival;1185NK;AMSTELVEEN;Noord-Holland;Bo;Antroposofisch;61752;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;362;Amstelveen;1017;Amsterdam;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1054;Amsterdam;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1060;Amsterdam;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1067;Amsterdam;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;362;Amstelveen;1081;Amsterdam;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;362;Amstelveen;1082;Amsterdam;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;0;2;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;362;Amstelveen;1083;Amsterdam;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;362;Amstelveen;1102;Amsterdam;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1104;Amsterdam;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1106;Amsterdam;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;362;Amstelveen;1181;Amstelveen;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;57;47;54;52;52;43;47;41;5;0;0;0;0;0;0;0;0;0;0;0;0;0;398
20171001;362;Amstelveen;1182;Amstelveen;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;9;9;11;6;4;9;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55
20171001;362;Amstelveen;1183;Amstelveen;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;8;9;16;8;13;6;9;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;73
20171001;362;Amstelveen;1185;Amstelveen;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;3;4;3;5;5;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30
20171001;362;Amstelveen;1186;Amstelveen;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;1;0;1;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;362;Amstelveen;1187;Amstelveen;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;3;0;0;4;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;362;Amstelveen;1188;Amstelveen;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;362;Amstelveen;1432;Aalsmeer;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;362;Amstelveen;1433;Aalsmeer;07IX;00;Roelof Venemaschool;1181ER;AMSTELVEEN;Noord-Holland;Bo;Protestants-Christelijk;40020;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1018;Amsterdam;10FO;00;Horizon;1186GP;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1057;Amsterdam;10FO;00;Horizon;1186GP;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;362;Amstelveen;1102;Amsterdam;10FO;00;Horizon;1186GP;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;362;Amstelveen;1106;Amsterdam;10FO;00;Horizon;1186GP;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;362;Amstelveen;1183;Amstelveen;10FO;00;Horizon;1186GP;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;0;0;3;3;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;362;Amstelveen;1184;Amstelveen;10FO;00;Horizon;1186GP;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;1;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;362;Amstelveen;1185;Amstelveen;10FO;00;Horizon;1186GP;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;6;4;4;3;5;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;27
20171001;362;Amstelveen;1186;Amstelveen;10FO;00;Horizon;1186GP;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;15;30;30;23;46;31;20;17;5;0;0;0;0;0;0;0;0;0;0;0;0;0;217
20171001;362;Amstelveen;1187;Amstelveen;10FO;00;Horizon;1186GP;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;1;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;362;Amstelveen;1188;Amstelveen;10FO;00;Horizon;1186GP;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1422;Uithoorn;10FO;00;Horizon;1186GP;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;1;1;2;1;1;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;362;Amstelveen;1076;Amsterdam;10WT;00;De Cirkel;1188AM;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;362;Amstelveen;1181;Amstelveen;10WT;00;De Cirkel;1188AM;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;3;0;1;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;362;Amstelveen;1183;Amstelveen;10WT;00;De Cirkel;1188AM;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;362;Amstelveen;1185;Amstelveen;10WT;00;De Cirkel;1188AM;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;2;3;6;1;4;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;362;Amstelveen;1186;Amstelveen;10WT;00;De Cirkel;1188AM;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;23;28;25;13;17;10;17;16;2;0;0;0;0;0;0;0;0;0;0;0;0;0;151
20171001;362;Amstelveen;1187;Amstelveen;10WT;00;De Cirkel;1188AM;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;2;6;2;3;5;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
20171001;362;Amstelveen;1188;Amstelveen;10WT;00;De Cirkel;1188AM;AMSTELVEEN;Noord-Holland;Bo;Rooms-Katholiek;40020;0;23;19;27;20;18;25;14;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;157
